134,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,136
159,160,160,160,160,160,160,160,160,157,155,160,160,160,160,160,160,160,160,161
159,160,160,160,160,160,160,160,160,157,155,160,160,160,160,160,160,160,160,161
159,160,160,160,160,160,160,160,160,157,155,160,160,160,160,160,160,160,160,161
159,160,160,160,160,160,160,160,160,157,155,160,160,160,160,160,160,160,160,161
159,181,181,181,181,181,181,181,181,182,180,181,181,181,181,181,181,181,181,161
159,131,131,131,131,131,131,131,131,132,130,131,131,131,131,131,131,131,131,161
159,160,160,160,160,160,160,156,156,157,155,160,160,160,160,160,160,160,160,161
159,160,160,160,160,160,160,160,160,157,155,160,160,160,160,160,160,160,160,161
159,160,160,160,160,160,160,160,160,157,155,160,160,160,160,160,160,160,160,161
184,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,186
